"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"65","150.21870777732042","191.32765634171818","0.009033203125","0.013671875","0.00439453125","1560","0.00023888325443524984","32","0.00023888325443524984","0","0.00023888325443524984","0.00023888325443524984","55:0.0024728291880049824;64:0.0020069379346945304;66:0.0020156357052260043","55:120;64:68;66:68","Yes","55:0.003908784632214085;66:0.004099838242005188"
"66","201.20328839372362","195.8435931082769","0.004638671875","0.00634765625","0.0029296875","1560","0.00023008420568621445","32","0.00023008420568621445","0","0.00023008420568621445","0.00023008420568621445","65:0.0020156357052260043;67:0.0024121216062015227","65:68;67:68","Yes","65:0.004099838242005188;67:0.0023444404219088444"
"67","148.18940958276298","125.17959020208906","0.0439453125","0.06494140625","0.02294921875","1560","0.0002109044102090991","32","0.0002109044102090991","0","0.0002109044102090991","0.0002109044102090991","68:0.0030162805152710026;74:0.0025449123332129397;66:0.0024121216062015227","68:88;74:72;66:68","Yes","68:0.004250348184371339;74:0.003880646797362275;66:0.0023444404219088444"
"68","168.26250563086577","76.12687532151617","0.0087890625","0.01025390625","0.00732421875","1560","0.00044148686179216524","32","0.00044148686179216524","0","0.00044148686179216524","0.00044148686179216524","67:0.0030162805152710026;69:0.00626462500319197","67:88;69:68","Yes","67:0.004250348184371339;69:0.00633824235726313"
"69","212.25175449534035","69.5207282580291","0.05859375","0.095703125","0.021484375","1560","0.00024312964076881067","32","0.00024312964076881067","0","0.00024312964076881067","0.00024312964076881067","56:0.00848903005587956;68:0.00626462500319197;70:0.005799983304849848","56:160;68:68;70:68","Yes","56:0.010740288378055018;68:0.00633824235726313;70:0.009731200838396348"
"70","93.47555282963643","45.93424245120576","0.0576171875","0.03857421875","0.07666015625","1560","0.000568958058621339","32","0.000568958058621339","0","0.000568958058621339","0.000568958058621339","69:0.005799983304849848;71:0.002666453282372583","69:68;71:68","Yes","69:0.009731200838396348;71:0.0057877024313753855"
"71","177.02846363074963","41.96815261769907","0.03466796875","0.0556640625","0.013671875","1560","0.00037366877218904476","32","0.00037366877218904476","0","0.00037366877218904476","0.00037366877218904476","75:0.004257069716839895;70:0.002666453282372583","75:112;70:68","Yes","75:0.005210857907793381;70:0.0057877024313753855"
"72","111.31036961946369","65.33457782437794","0.00830078125","0.00390625","0.0126953125","1560","0.0003282381974819327","32","0.0003282381974819327","0","0.0003282381974819327","0.0003282381974819327","59:0.001963871937330025;78:0.002977954384499548","59:68;78:120","Yes","59:0.002492792970479274;78:0.003966970581836843"
"73","182.03586509243007","96.01256673561589","0.023681640625","0.01953125","0.02783203125","1560","0.0005497834508884254","32","0.0005497834508884254","0","0.0005497834508884254","0.0005497834508884254","82:0.00305702332822666;63:0.002940410573968266","82:88;63:88","Yes","82:0.01210082002819926;63:0.005296018087977222"
"74","237.44503942884535","157.1638415697296","0.010986328125","0.0078125","0.01416015625","1560","0.0002503027438555518","32","0.0002503027438555518","0","0.0002503027438555518","0.0002503027438555518","86:0.002390507204458353;67:0.0025449123332129397","86:68;67:72","Yes","86:0.004803663832592758;67:0.003880646797362275"
